Фрейм,Значение,Форма,А-класс (реальный),перф.EP,перф.ES,перф.Q,перф.P,перф.P2,перф.S,перф.MP,перф.EMP,имперф.P,имперф.P2,имперф.S,имперф.MP,Источник,Комментарии
1411,lie,š'əʎən,"<S, S>",0,0,0,0,0,1,0,0,0,0,1,0,Arkadiev 2009,
3184,live,psewən,"<S, S>",0,0,0,0,0,1,0,0,0,0,1,0,Arkadiev 2009,
"504, 3626",know,ṣ̂en,"<ES, S>",0,1,0,0,0,0,0,0,0,0,1,0,Arkadiev 2009,
1409,see,ʎeʁwən,"<ES, S>",0,1,0,0,0,0,0,0,0,0,1,0,Arkadiev 2009,
"1106, 1585",sleep,čəjen,"<ES S, S>",0,1,0,0,0,1,0,0,0,0,1,0,Arkadiev 2009,
1413,play,ǯegʷən,"<P, P>",0,0,0,1,0,0,0,0,1,0,0,0,Arkadiev 2009,"в авторской орфографии огубленность написана субскриптом, заменить несложно если понадобится"
1672,write,txen,"<P, P>",0,0,0,1,0,0,0,0,1,0,0,0,Arkadiev 2009,непереходный
695,go,kʷen,"<EP, P>",1,0,0,0,0,0,0,0,1,0,0,0,Arkadiev 2009,
1441,fly,bəbən,"<EP, P>",1,0,0,0,0,0,0,0,1,0,0,0,Arkadiev 2009,
715,shout,kʷəwen,"<Q, MP>",0,0,1,0,0,0,0,0,0,0,0,1,Arkadiev 2009,
1440,spit,wəẑʷəntxen,"<Q, MP>",0,0,1,0,0,0,0,0,0,0,0,1,Arkadiev 2009,
879,cough,psken,"<Q MP, MP>",0,0,1,0,0,0,1,0,0,0,0,1,Arkadiev 2009,единственный в классе
1456,throw,ʒən,"<ES, —>",0,1,0,0,0,0,0,0,0,0,0,0,Arkadiev 2009,
3976,explode,qewen,"<ES, —>",0,1,0,0,0,0,0,0,0,0,0,0,Arkadiev 2009,
1494,die,ʎ̣en,"<ES, P>",0,1,0,0,0,0,0,0,1,0,0,0,Arkadiev 2009,
1418,dig,ṭən,"<ES, P>",0,1,0,0,0,0,0,0,1,0,0,0,Arkadiev 2009,
1447,give,jetən,"<ES, P>",0,1,0,0,0,0,0,0,1,0,0,0,Arkadiev 2009,
1573,swell,qebegən,"<ES, P>",0,1,0,0,0,0,0,0,1,0,0,0,Arkadiev 2009,
1815,ache,,"<S, S>",0,0,0,0,0,1,0,0,0,0,1,0,Arkadiev 2009,"у этого и последующих глаголов есть примеры, но нет начальной формы - надо посмотреть по словарю потом"
923,love,,"<ES, S>",0,1,0,0,0,0,0,0,0,0,1,0,Arkadiev 2009,
1519,run,,"<EP, P>",1,0,0,0,0,0,0,0,1,0,0,0,Arkadiev 2009,
719,find,,"<ES, —>",0,1,0,0,0,0,0,0,0,0,0,0,Arkadiev 2009,
1806,open (the meeting),,"<ES, P>",0,1,0,0,0,0,0,0,1,0,0,0,Arkadiev 2009,"поставил фрейм 1806 BEGIN, в глоссах каузатив от begin"
2334,melt,,"<ES, P>",0,1,0,0,0,0,0,0,1,0,0,0,Arkadiev 2009,
2880,stop,,"<ES, P>",0,1,0,0,0,0,0,0,1,0,0,0,Arkadiev 2009,
2708,talk,,"<P, P>",0,0,0,1,0,0,0,0,1,0,0,0,Arkadiev 2009,
1909,shake,,"<Q, MP>",0,0,1,0,0,0,1,0,0,0,0,0,Arkadiev 2009,
