Фрейм,Значение,Форма,А-класс (реальный),перф.EP,перф.ES,перф.Q,перф.P,перф.P2,перф.S,перф.MP,перф.EMP,имперф.P,имперф.P2,имперф.S,имперф.MP,Источник,Комментарии
2868,гнать,ajda,"<P, P>",0,0,0,1,0,0,0,0,1,0,0,0,"Шлуинский 2009 (Пазельская, Рыбинцева в Тубуларские этюды 2009)",
1086,работать,ište,"<P, P>",0,0,0,1,0,0,0,0,1,0,0,0,"Шлуинский 2009 (Пазельская, Рыбинцева в Тубуларские этюды 2009)",
3058,пастись1,oto,"<P, P>",0,0,0,1,0,0,0,0,1,0,0,0,"Шлуинский 2009 (Пазельская, Рыбинцева в Тубуларские этюды 2009)",
1468,искать,petrire,"<P, P>",0,0,0,1,0,0,0,0,1,0,0,0,"Шлуинский 2009 (Пазельская, Рыбинцева в Тубуларские этюды 2009)",
1590,ждать,qara,"<P, P>",0,0,0,1,0,0,0,0,1,0,0,0,"Шлуинский 2009 (Пазельская, Рыбинцева в Тубуларские этюды 2009)",
792,кипеть,qajna,"<EP P, P>",1,0,0,1,0,0,0,0,1,0,0,0,"Шлуинский 2009 (Пазельская, Рыбинцева в Тубуларские этюды 2009)",
1355,смеяться,qattɨr,"<EP P, P>",1,0,0,1,0,0,0,0,1,0,0,0,"Шлуинский 2009 (Пазельская, Рыбинцева в Тубуларские этюды 2009)",
1519,бежать,te:n,"<EP P, P>",1,0,0,1,0,0,0,0,1,0,0,0,"Шлуинский 2009 (Пазельская, Рыбинцева в Тубуларские этюды 2009)",
1441,лететь,üš,"<EP P, P>",1,0,0,1,0,0,0,0,1,0,0,0,"Шлуинский 2009 (Пазельская, Рыбинцева в Тубуларские этюды 2009)",
363,жить,tʲat,"<S, S>",0,0,0,0,0,1,0,0,0,0,1,0,"Шлуинский 2009 (Пазельская, Рыбинцева в Тубуларские этюды 2009)","в словаре 363, а не 2309"
1585,спать,urta/uqta,"<S, S>",0,0,0,0,0,1,0,0,0,0,1,0,"Шлуинский 2009 (Пазельская, Рыбинцева в Тубуларские этюды 2009)","в источнике через ||, видимо просто два варианта"
923,любить1,tüš,"<ES S, S>",0,1,0,0,0,1,0,0,0,0,1,0,"Шлуинский 2009 (Пазельская, Рыбинцева в Тубуларские этюды 2009)",омонимия с падать
1419,бояться,qorqu,"<ES S, S>",0,1,0,0,0,1,0,0,0,0,1,0,"Шлуинский 2009 (Пазельская, Рыбинцева в Тубуларские этюды 2009)",
923,любить2,süj,"<ES S, S>",0,1,0,0,0,1,0,0,0,0,1,0,"Шлуинский 2009 (Пазельская, Рыбинцева в Тубуларские этюды 2009)",
