Фрейм,Значение,А-класс (реальный),Форма,перф.EP,перф.ES,перф.Q,перф.P,перф.P2,перф.S,перф.MP,перф.EMP,имперф.P,имперф.P2,имперф.MP,имперф.S,Источник,Комментарии
1468,искать,"<P, P>",x,0,0,0,1,0,0,0,0,1,0,0,0,Мищенко 2013,"таблица ссылается на хэндаут из архивов автора, которого нет в открытом доступе. надо написать лично и попросить, наверное"
792,кипеть,"<EP P, P>",x,1,0,0,1,0,0,0,0,1,0,0,0,Мищенко 2013,
1983,храпеть,"<EP P, P>",x,1,0,0,1,0,0,0,0,1,0,0,0,Мищенко 2013,"в таблице P и EP в другом порядке разложены, а в названии класса нет слова сильный"
1590,ждать,"<S, S>",x,0,0,0,0,0,1,0,0,0,0,0,1,Мищенко 2013,
"702, 1448","держать, ловить","<ES P S, P S>",x,0,1,0,1,0,1,0,0,1,0,0,1,Мищенко 2013,
2492,вариться,"<ES P, P>",x,0,1,0,1,0,0,0,0,1,0,0,0,Мищенко 2013,"2492 каузативный, а этот глагол нет. фрейма без каузации нет, что делать непонятно"
987,оставаться,"<ES, P>",x,0,1,0,0,0,0,0,0,1,0,0,0,Мищенко 2013,
1117,нравиться,"<ES S, S>",x,0,1,0,0,0,1,0,0,0,0,0,1,Мищенко 2013,
1409,видеть,"<ES, S>",x,0,1,0,0,0,0,0,0,0,0,0,1,Мищенко 2013,
3072,терять,"<ES, ->",x,0,1,0,0,0,0,0,0,0,0,0,0,Мищенко 2013,
"978, 2901","махать, качать","<Q MP, MP>",x,0,0,1,0,0,0,1,0,0,0,1,0,Мищенко 2013,
1455,"тянуть, дёргать","<ES Q MP, P MP>",x,0,1,1,0,0,0,1,0,1,0,1,0,Мищенко 2013,
1444,вертеться,"<ES EMP Q MP, MP>",x,0,1,1,0,0,0,1,1,0,0,1,0,Мищенко 2013,EMP существует? или EP оно же
1892,"дотрагиваться, касаться","<Q S MP, S MP>",x,0,0,1,0,0,1,1,0,0,0,1,1,Мищенко 2013,"чтобы всё сошлось, нужно выписать все классы чтобы знать в каком порядке писать значения"
1428,гореть,"<EP ES P, P>",x,1,1,0,1,0,0,0,0,1,0,0,0,Мищенко 2013,
