Фрейм,Значение,Форма,А-класс (реальный),перф.EP,перф.ES,перф.Q,перф.P,перф.P2,перф.S,перф.MP,перф.EMP,имперф.P,имперф.P2,имперф.S,имперф.MP,Источник,Комментарии
531,возвращаться,tavrăn-,"<ES, P>",0,1,0,0,0,0,0,0,1,0,0,0,Шлуинский 2006,
1446,приходить,kil-,"<ES P, P>",0,1,0,1,0,0,0,0,1,0,0,0,Шлуинский 2006,
2905,вязать,šɨx-,"<ES P, P>",0,1,0,1,0,0,0,0,1,0,0,0,Шлуинский 2006,
423,теряться,šʲuxal-,"<ES, —",0,1,0,0,0,0,0,0,0,0,0,0,Шлуинский 2006,
1536,понимать,ănlan-,"<ES, S>",0,1,0,0,0,0,0,0,0,0,1,0,Шлуинский 2006,
"2327, 1847",болеть,čirle-,"<ES S, S>",0,1,0,0,0,1,0,0,0,0,1,0,Шлуинский 2006,"1847 не action/process, а property, оно ближе всего по значению но возможно стоит оставить 0"
1411,лежать,vɨrt-,"<ES S, P S>",0,1,0,0,0,1,0,0,1,0,1,0,Шлуинский 2006,
792,кипеть,věrě-,"<EP P, P>",1,0,0,1,0,0,0,0,1,0,0,0,Шлуинский 2006,
1585,спать,šɨvăr-,"<S, S>",0,0,0,0,0,1,0,0,0,0,1,0,Шлуинский 2006,
2907,гнить,šer-,"<P, P>",0,0,0,1,0,0,0,0,1,0,0,0,Шлуинский 2006,
1172,стрелять,per-,"<Q MP, MP>",0,0,1,0,0,0,1,0,0,0,0,1,Шлуинский 2006,
