Название фрейма,Фрейм,Значение,А-группа,А-класс (сумма),Форма,А-класс (реальный),перф.EP,перф.ES,перф.P,перф.P2,перф.S,перф.MP,перф.EMP,перф.Q,имперф.P,имперф.P2,имперф.S,имперф.MP,Источник,Комментарии
KNOW,3626,знать,nya,<S; —>,nya,<S; —>,0,0,0,0,1,0,0,0,0,0,0,0,[Шлуинский 2008],
LOVE,923,любить,lɔ̃,<S; —>,lɔ̃,<S; —>,0,0,0,0,1,0,0,0,0,0,0,0,[Шлуинский 2008],
,,знать (язык),se,"<ES, S; P>",se,"<ES, S; P>",0,1,0,0,1,0,0,0,1,0,0,0,[Шлуинский 2008],
FEAR (BE AFRAID),1419,бояться,vɔ,<S; S>,vɔ,<S; S>,0,0,0,0,1,0,0,0,0,0,1,0,[Шлуинский 2008],
,,быть тяжёлым,kpe,<S; S>,kpe,<S; S>,0,0,0,0,1,0,0,0,0,0,1,0,[Шлуинский 2008],
SEE,1409,видеть,kpɔ,"<ES, S; S>",kpɔ,"<ES, S; S>",0,1,0,0,1,0,0,0,0,0,1,0,[Шлуинский 2008],
LEARN,504,изучать,srɔ̃,<P; P>,srɔ̃,<P; P>,0,0,1,0,0,0,0,0,1,0,0,0,[Шлуинский 2008],
LOOK FOR,1468,искать,dzi,<P; P>,dzi,<P; P>,0,0,1,0,0,0,0,0,1,0,0,0,[Шлуинский 2008],
BOIL,2493,кипеть,fie,"<EP, P; P>",fie,"<EP, P; P>",1,0,1,0,0,0,0,0,1,0,0,0,[Шлуинский 2008],
COUGH,879,кашлять,kpekpe,"<ES, MP; MP>",kpekpe,"<ES, MP; MP>",0,1,0,0,0,1,0,0,0,0,0,1,[Шлуинский 2008],
BARKING,1206,лаять,wo,"<ES, MP; MP>",wo,"<ES, MP; MP>",0,1,0,0,0,1,0,0,0,0,0,1,[Шлуинский 2008],
DIE,1494,умирать,ku,<ES; P>,ku,<ES; P>,0,1,0,0,0,0,0,0,1,0,0,0,[Шлуинский 2008],
COME,1446,приходить,va,<ES; P>,va,<ES; P>,0,1,0,0,0,0,0,0,1,0,0,0,[Шлуинский 2008],
WRITE,1672,писать,ŋlɔ,"<ES, P; P>",ŋlɔ,"<ES, P; P>",0,1,1,0,0,0,0,0,1,0,0,0,[Шлуинский 2008],
,,будить,fɔ,"<ES, P; P>",fɔ,"<ES, P; P>",0,1,1,0,0,0,0,0,1,0,0,0,[Шлуинский 2008],
FIND,719,находить,kpɔ,"<ES, —>",kpɔ,"<ES, —>",0,1,0,0,0,0,0,0,0,0,0,0,[Шлуинский 2008],
STAND UP,570,вставать,tso,"<ES, S; P>",tso,"<ES, S; P>",0,1,0,0,1,0,0,0,1,0,0,0,[Шлуинский 2008],
