Фрейм,Значение,А-группа,А-класс (сумма),Форма,А-класс (реальный),перф.EP,перф.ES,перф.P,перф.P2,перф.S,перф.MP,перф.EMP,перф.Q,имперф.P,имперф.P2,имперф.S,имперф.MP,Источник,Комментарии
,бежать,tutu-,<EP; P> ,tutu-,<EP; P> ,1,0,0,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
,бить,tojkan-,"<ES, P; P>",tojkan-,"<ES, P; P>",0,1,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
,болеть,ənulu- / ənusi-,<ES; S>,ənulu-,<ES; —>,0,1,0,0,0,0,0,0,0,0,1,0,[Oskolskaya 2017],найхинский говор
,болеть,ənulu- / ənusi-,<ES; S>,ənusi-,<S; S>,0,1,0,0,0,0,0,0,0,0,1,0,[Oskolskaya 2017],найхинский говор
,бояться,ŋə̄lə- / ŋə̄ləči-,<ES; S>,ŋə̄lə-,<ES; —>,0,1,0,0,0,0,0,0,0,0,1,0,[Oskolskaya 2017],найхинский говор
,бояться,ŋə̄lə- / ŋə̄ləči-,<ES; S>,ŋə̄ləči-,<S; S>,0,1,0,0,0,0,0,0,0,0,1,0,[Oskolskaya 2017],найхинский говор
,"брать, держать",ǯapa- / ǯapača-,"<ES, P; S>",ǯapa-,<ES; P>,0,1,0,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
,"брать, держать",ǯapa- / ǯapača-,"<ES, P; S>",ǯapača-,<S; S>,0,0,0,0,1,0,0,0,0,0,1,0,[Oskolskaya 2017],найхинский говор
,бросать,naŋgala- / naŋgače-,"<Q, P; MP>",naŋgala- ,<Q; P>,0,0,0,0,0,0,0,1,1,0,0,0,[Oskolskaya 2017],найхинский говор
,бросать,naŋgala- / naŋgače-,"<Q, P; MP>",naŋgače-,<MP; MP>,0,0,0,0,0,1,0,0,0,0,0,1,[Oskolskaya 2017],найхинский говор
,"быть, располагаться, находиться",bi-,<S; —>,bi-,<S; —>,0,0,0,0,1,0,0,0,0,0,0,0,[Oskolskaya 2017],найхинский говор
