Название фрейма,Фрейм,Значение,А-группа,А-класс (сумма),Форма,"А-класс (реальный, основа)",перф.EP,перф.ES,перф.P,перф.P2,перф.S,перф.Q,перф.MP,перф.EMP,имперф.P,имперф.P2,имперф.S,имперф.MP,Источник,Комментарии
CRY,1839,плакать,qari,"<EP P, P>",qari,"<EP P, P>",1,0,1,0,0,0,0,0,1,0,0,0,"[Татевосов 2016], [Татевосов 2005]",
RING,2875,"жужжать, звенеть",zūndi,"<EP P, P>",zūndi,"<EP P, P>",1,0,1,0,0,0,0,0,1,0,0,0,"[Татевосов 2016], [Татевосов 2005]",
ITCH,3855,"чесаться, зудеть",s’is’ini,"<EP P, P>",s’is’ini,"<EP P, P>",1,0,1,0,0,0,0,0,1,0,0,0,"[Татевосов 2016], [Татевосов 2005]",
RUN,1519,бежать,š’˳ā,"<EP P, P>",š’˳ā,"<EP P, P>",1,0,1,0,0,0,0,0,1,0,0,0,"[Татевосов 2016], [Татевосов 2005]",
SKATE,3129,"скользить, кататься по льду",z˳ē,"<EP P, P>",z˳ē,"<EP P, P>",1,0,1,0,0,0,0,0,1,0,0,0,"[Татевосов 2016], [Татевосов 2005]",
BOIL (OF LIQUID),792,кипеть,h˳alli,"<EP P, P1 P2>",h˳alli,"<EP P, P1 P2>",1,0,1,0,0,0,0,0,1,1,0,0,"[Татевосов 2016], [Татевосов 2005]",
BURN,2102,гореть (об огне),b-ukã,"<EP P, P1 P2>",b-ukã,"<EP P, P1 P2>",1,0,1,0,0,0,0,0,1,1,0,0,"[Татевосов 2016], [Татевосов 2005]",
FLY (MOVE THROUGH AIR),1441,лететь,eta,"<EP P, P1 P2>",eta,"<EP P, P1 P2>",1,0,1,0,0,0,0,0,1,1,0,0,"[Татевосов 2016], [Татевосов 2005]",
COUGH,879,кашлять,oHori,"<ES MP, MP>",oHori,"<ES MP, MP>",0,1,0,0,0,0,1,0,0,0,0,1,"[Татевосов 2016], [Татевосов 2005]",
BARKING,1206,лаять,Habdi,"<ES MP, MP>",Habdi,"<ES MP, MP>",0,1,0,0,0,0,1,0,0,0,0,1,"[Татевосов 2016], [Татевосов 2005]",
SHOOT,1172,стрелять,L’˳ahrē,"<ES MP, MP>",L’˳ahrē,"<ES MP, MP>",0,1,0,0,0,0,1,0,0,0,0,1,"[Татевосов 2016], [Татевосов 2005]",
THROW,1456,кидать,t’ani,"<ES MP, MP>",t’ani,"<ES MP, MP>",0,1,0,0,0,0,1,0,0,0,0,1,"[Татевосов 2016], [Татевосов 2005]",
