Фрейм,Значение,А-группа,А-класс группы,Форма,А-класс формы,перф.EP,перф.ES,перф.Q,перф.P,перф.P2,перф.S,перф.MP,перф.EMP,имперф.P,имперф.P2,имперф.MP,имперф.S,Источник,Комментарии
1468,search,ieškoti,"<P, P>",ieškoti,"<P, P>",0,0,0,1,0,0,0,0,1,0,0,0,Arkadiev 2011,
1672,write,rašyti/parašyti,"<ES P, P>",rašyti,"<P, P>",0,0,0,1,0,0,0,0,1,0,0,0,Arkadiev 2011,
1672,write,rašyti/parašyti,"<ES P, P>",parašyti,"<ES P, —>",0,1,0,1,0,0,0,0,0,0,0,0,Arkadiev 2011,"между 2009 и 2011 данные расходятся, беру более новые"
1784,want,norėti,"<S, S>",norėti,"<S, S>",0,0,0,0,0,1,0,0,0,0,0,1,Arkadiev 2011,
1411,lie,gulėti,"<S, S>",gulėti,"<S, S>",0,0,0,0,0,1,0,0,0,0,0,1,Arkadiev 2011,
879,cough,kosėti/sukosėti,"<Q MP, MP>",kosėti,"<MP, MP>",0,0,0,0,0,0,1,0,0,0,1,0,Arkadiev 2011,
879,cough,kosėti/sukosėti,"<Q MP, MP>",sukosėti,"<Q, —>",0,1,0,0,0,0,0,0,0,0,0,0,Arkadiev 2011,
808,drip,lašėti/nulašėti,"<Q MP, MP>",lašėti,"<MP, MP>",0,0,0,0,0,0,1,0,0,0,1,0,Arkadiev 2011,
808,drip,lašėti/nulašėti,"<Q MP, MP>",nulašėti,"<Q, MP>",0,0,1,0,0,0,0,0,0,0,1,0,Arkadiev 2011,
1433,hit,mušti,"<ES, —>",mušti,"<ES, —>",0,1,0,0,0,0,0,0,0,0,0,0,Arkadiev 2011,
719,find,rasti,"<ES, —>",rasti,"<ES, —>",0,1,0,0,0,0,0,0,0,0,0,0,Arkadiev 2011,
866,win,laimėti,"<ES, P>",laimėti,"<ES, P>",0,1,0,0,0,0,0,0,1,0,0,0,Arkadiev 2011,
581,return,grįžti,"<ES, P>",grįžti,"<ES, P>",0,1,0,0,0,0,0,0,1,0,0,0,Arkadiev 2011,
1735,tear,plyšti,"<ES P, P>",plyšti,"<ES P, P>",0,1,0,1,0,0,0,0,1,0,0,0,Arkadiev 2011,
2880,stop,sustoti,"<ES, —>",sustoti,"<ES, —>",0,1,0,0,0,0,0,0,0,0,0,0,Arkadiev 2011,
1156,unlock,rakinti/atrakinti,"<ES P, P>",rakinti,"<P, P>",0,0,0,1,0,0,0,0,1,0,0,0,Arkadiev 2011,
1156,unlock,rakinti/atrakinti,"<ES P, P>",atrakinti,"<ES, —>",0,1,0,0,0,0,0,0,0,0,0,0,Arkadiev 2011,"в одном куске статьи у конкретно этой формы перевод open, в другом у обоих глаголов перевод unlock, я оставлю unlock чтобы не делать open1 и open2"
3544,wave once,mostelėti,"<ES, —>",mostelėti,"<ES, —>",0,1,0,0,0,0,0,0,0,0,0,0,Arkadiev 2011,
142,come home,pareiti,"<ES, P>",pareiti,"<ES, P>",0,1,0,0,0,0,0,0,1,0,0,0,Arkadiev 2011,
1156,open,atidaryti,"<ES, P>",atidaryti,"<ES, P>",0,1,0,0,0,0,0,0,1,0,0,0,Arkadiev 2011,
0,doze for a while,nusnūsti,"<S, —>",nusnūsti,"<S, —>",0,0,0,0,0,1,0,0,0,0,0,0,Arkadiev 2011,
1448,hold for a while,palaikyti,"<S, —>",palaikyti,"<S, —>",0,0,0,0,0,1,0,0,0,0,0,0,Arkadiev 2011,
2248,know,pažinti,"<ES S, S>",pažinti,"<ES S, S>",0,1,0,0,0,1,0,0,0,0,0,1,Arkadiev 2011,
1536,understand,suprasti,"<ES S, S>",suprasti,"<ES S, S>",0,1,0,0,0,1,0,0,0,0,0,1,Arkadiev 2011,
1650,watch for a while,pažiūrėti,"<ES P, —>",pažiūrėti,"<ES P, —>",0,1,0,1,0,0,0,0,0,0,0,0,Arkadiev 2011,
2892,make angry,pykdyti,"<P, P>",pykdyti,"<P, P>",0,0,0,1,0,0,0,0,1,0,0,0,Arkadiev 2011,
3544,wave repeatedly,mojuoti,"<MP, MP>",mojuoti,"<MP, MP>",0,0,0,0,0,0,1,0,0,0,1,0,Arkadiev 2011,"с первого взгляда не дериват <ES, -> глагола того же фрейма"
792,start boiling,užvirti,"<EP, —>",užvirti,"<EP, —>",1,0,0,0,0,0,0,0,0,0,0,0,Arkadiev 2011,
1897,help,padėti,"<ES P, P>",padėti,"<ES P, P>",0,1,0,1,0,0,0,0,1,0,0,0,Arkadiev 2011,
1444,turn around for a while,pasisukti,"<P, —>",pasisukti,"<P, —>",0,0,0,1,0,0,0,0,0,0,0,0,Arkadiev 2011,
0,belong,priklausyti,"<S, S>",priklausyti,"<S, S>",0,0,0,0,0,1,0,0,0,0,0,1,Arkadiev 2011,
1261,sing,dainuoti/sudainuoti,"<ES P, P>",dainuoti,"<P, P>",0,0,0,1,0,0,0,0,1,0,0,0,Arkadiev 2011,
1261,sing,dainuoti/sudainuoti,"<ES P, P>",sudainuoti,"<ES, —>",0,1,0,0,0,0,0,0,0,0,0,0,Arkadiev 2011,
1401,drink,gerti/išgerti,"<ES P, P>",gerti,"<P, P>",0,0,0,1,0,0,0,0,1,0,0,0,Arkadiev 2011,
1401,drink,gerti/išgerti,"<ES P, P>",išgerti,"<ES, —>",0,1,0,0,0,0,0,0,0,0,0,0,Arkadiev 2011,
681,destroy,griauti/nugriauti,"<ES P, P>",griauti,"<P, P>",0,0,0,1,0,0,0,0,1,0,0,0,Arkadiev 2011,
681,destroy,griauti/nugriauti,"<ES P, P>",nugriauti,"<ES, —>",0,1,0,0,0,0,0,0,0,0,0,0,Arkadiev 2011,
1408,hear,girdėti/išgirdėti,"<ES S, S>",girdėti,"<S, S>",0,0,0,0,0,1,0,0,0,0,0,1,Arkadiev 2011,
1408,hear,girdėti/išgirdėti,"<ES S, S>",išgirdėti,"<ES, —>",0,1,0,0,0,0,0,0,0,0,0,0,Arkadiev 2011,
1387,arrive,atskrįsti,"<ES, P>",atskrįsti,"<ES, P>",0,1,0,0,0,0,0,0,1,0,0,0,Arkadiev 2011,
1494,die,mirti,"<ES, P>",mirti,"<ES, P>",0,1,0,0,0,0,0,0,1,0,0,0,Arkadiev 2011,
1117,"like, be fond of",patitki,"<ES S, S>",patitki,"<ES S, S>",0,1,0,0,0,1,0,0,0,0,0,1,Arkadiev 2011,
1456,бросить,mesti,"<ES, —>",mesti,"<ES, —>",0,1,0,0,0,0,0,0,0,0,0,0,Аркадьев 2009,
1441,лететь,skristi,"<P, P>",skristi,"<P, P>",0,0,0,1,0,0,0,0,1,0,0,0,Аркадьев 2009,
1590,ждать,laukti,"<S, S>",laukti,"<S, S>",0,0,0,0,0,1,0,0,0,0,0,1,Аркадьев 2009,
578,целовать,bučiuoti,"<MP, MP>",bučiuoti,"<MP, MP>",0,0,0,0,0,0,1,0,0,0,1,0,Аркадьев 2009,
2890,погулять,pavaikščoti,"<P, —>",pavaikščoti,"<P, —>",0,0,0,1,0,0,0,0,0,0,0,0,Аркадьев 2009,"указано, что он единственный в классе, что противоречит 2011 (там указан другой глагол этого класса, и тоже указано что он единственный в классе("
