Фрейм,Значение,А-группа,А-класс,Форма,А-класс,перф.EP,перф. EMP,перф.ES,перф. Q,перф.P,перф.P2,перф.S,перф.MP,имперф.P,имперф.P2,имперф. MP,имперф.S,Источник,Комментарии,Поведение в объектном
230,"подметать, подмести",,,t'ɛjəms,"<ES P, P>",0,0,1,0,1,0,0,0,1,0,0,0,"Toldova, Kholodilova (eds) 2018","здесь и далее до указания иного акциональность указана для субъектного спряжения, пример: 419, 427",
"215, 1411","ложиться, лечь",,,madəms,"<ES, P>",0,0,1,0,0,0,0,0,1,0,0,0,"Toldova, Kholodilova (eds) 2018",,
719,найти,,,mums,"<ES, —>",0,0,1,0,0,0,0,0,0,0,0,0,"Toldova, Kholodilova (eds) 2018",пример: 419,
,болеть,,,s'ɛr'ɛd'əms,"<S, S>",0,0,0,0,0,0,1,0,0,0,0,1,"Toldova, Kholodilova (eds) 2018",пример: 420,
,"опечалиться, печалиться",,,r'iznams,"<ES S, S>",0,0,1,0,0,0,1,0,0,0,0,1,"Toldova, Kholodilova (eds) 2018",,
,жужжать,,,bəznams,"<P, P>",0,0,0,0,1,0,0,0,1,0,0,0,"Toldova, Kholodilova (eds) 2018",пример: 420,
1983,храпеть,,,kərnams,"<EP P, P>",1,0,0,0,1,0,0,0,1,0,0,0,"Toldova, Kholodilova (eds) 2018",,
879,кашлять,,,kozəms,"<MP Q, MP>",0,0,0,1,0,0,0,1,0,0,1,0,"Toldova, Kholodilova (eds) 2018",,
1786,высохнуть,,,kos'kəm,"<ES, P>",0,0,1,0,0,0,0,0,1,0,0,0,"Toldova, Kholodilova (eds) 2018",,
,"остыть, замерзнуть",,,kel'məms,"<ES, —>",0,0,1,0,0,0,0,0,0,0,0,0,"Toldova, Kholodilova (eds) 2018",,
1090,родиться,,,šačəms,"<ES, P>",0,0,1,0,0,0,0,0,1,0,0,0,"Toldova, Kholodilova (eds) 2018",,
1494,умереть,,,kuləms,"<ES, —>",0,0,1,0,0,0,0,0,0,0,0,0,"Toldova, Kholodilova (eds) 2018",,
813,делать,,,t'ijəms,"<ES P, P>",0,0,1,0,1,0,0,0,1,0,0,0,"Toldova, Kholodilova (eds) 2018",,
724,читать,,,luvəms,"<ES P, P>",0,0,1,0,1,0,0,0,1,0,0,0,"Toldova, Kholodilova (eds) 2018",пример: 421,
,копать,,,šuvəms,"<ES P, P>",0,0,1,0,1,0,0,0,1,0,0,0,"Toldova, Kholodilova (eds) 2018",пример: 422,"превращается в <ES, —>"
1418,копать,,,šuvəms.OBJ,"<ES, —>",0,0,1,0,0,0,0,0,0,0,0,0,"Toldova, Kholodilova (eds) 2018",,
1100,варить,,,pid'əms,"<ES P, P>",0,0,1,0,1,0,0,0,1,0,0,0,"Toldova, Kholodilova (eds) 2018",можно ли делать вывод из 423?,"превращается в <ES, —>"
,варить,,,pid'əms.OBJ,"<ES, —>",0,0,1,0,0,0,0,0,0,0,0,0,"Toldova, Kholodilova (eds) 2018",,
3543,косить,,,l'ɛd'əms,"<ES P, P>",0,0,1,0,1,0,0,0,1,0,0,0,"Toldova, Kholodilova (eds) 2018",можно ли делать вывод из 423?,"превращается в <ES, —>"
,косить,,,l'ɛd'əms.OBJ,"<ES, —>",0,0,1,0,0,0,0,0,0,0,0,0,"Toldova, Kholodilova (eds) 2018",,
141,сжигать,,,pəltams̥,"<ES P, P>",0,0,1,0,1,0,0,0,1,0,0,0,"Toldova, Kholodilova (eds) 2018",можно ли делать вывод из 423?,"превращается в <ES, —>"
,сжигать,,,pəltams̥.OBJ,"<ES, —>",0,0,1,0,0,0,0,0,0,0,0,0,"Toldova, Kholodilova (eds) 2018",,
1672,писать,,,s'ormadəms,"<ES P, P>",0,0,1,0,1,0,0,0,1,0,0,0,"Toldova, Kholodilova (eds) 2018",можно ли делать вывод из 423?,"превращается в <ES, —>"
,писать,,,s'ormadəms.OBJ,"<ES, —>",0,0,1,0,0,0,0,0,0,0,0,0,"Toldova, Kholodilova (eds) 2018",,
1453,мыть,,,štams,"<ES P, P>",0,0,1,0,1,0,0,0,1,0,0,0,"Toldova, Kholodilova (eds) 2018",можно ли делать вывод из 423?,"превращается в <ES, —>"
,мыть,,,štams.OBJ,"<ES, —>",0,0,1,0,0,0,0,0,0,0,0,0,"Toldova, Kholodilova (eds) 2018",,
1156,открывать,,,pan'žəms,"<ES P, P>",0,0,1,0,1,0,0,0,1,0,0,0,"Toldova, Kholodilova (eds) 2018",можно ли делать вывод из 423?,"превращается в <ES, —>"
,открывать,,,pan'žəms.OBJ,"<ES, —>",0,0,1,0,0,0,0,0,0,0,0,0,"Toldova, Kholodilova (eds) 2018",,
,закрывать,,,s'olgəms,"<ES P, P>",0,0,1,0,1,0,0,0,1,0,0,0,"Toldova, Kholodilova (eds) 2018",можно ли делать вывод из 423?,"превращается в <ES, —>"
,закрывать,,,s'olgəms.OBJ,"<ES, —>",0,0,1,0,0,0,0,0,0,0,0,0,"Toldova, Kholodilova (eds) 2018",,
1501,сверлить,,,pɛl'əms,"<ES P, P>",0,0,1,0,1,0,0,0,1,0,0,0,"Toldova, Kholodilova (eds) 2018",можно ли делать вывод из 423?,"превращается в <ES, —>"
,сверлить,,,pɛl'əms.OBJ,"<ES, —>",0,0,1,0,0,0,0,0,0,0,0,0,"Toldova, Kholodilova (eds) 2018",,
2558,разбивать,,,kolams,"<ES P, P>",0,0,1,0,1,0,0,0,1,0,0,0,"Toldova, Kholodilova (eds) 2018",можно ли делать вывод из 423?,"превращается в <ES, —>"
,разбивать,,,kolams.OBJ,"<ES, —>",0,0,1,0,0,0,0,0,0,0,0,0,"Toldova, Kholodilova (eds) 2018",,
2324,вымокнуть,,,načkəd'əms,"<ES, —>",0,0,1,0,0,0,0,0,0,0,0,0,"Toldova, Kholodilova (eds) 2018",пример: 424,
1455,"тащить, тянуть, везти",,,uskəms ,"<ES P, P>",0,0,1,0,0,0,0,0,0,0,0,0,"Toldova, Kholodilova (eds) 2018",,
43,вести,,,vɛt'əms,"<ES P, P>",0,0,1,0,0,0,0,0,0,0,0,0,"Toldova, Kholodilova (eds) 2018",,
,гладить1,,,sud'ər'ams,"<ES P, P>",0,0,1,0,0,0,0,0,0,0,0,0,"Toldova, Kholodilova (eds) 2018",,
"1436, 1746",царапать,,,angər'ams,"<ES P, P>",0,0,1,0,0,0,0,0,0,0,0,0,"Toldova, Kholodilova (eds) 2018",,
2235,"убирать, чистить",,,ur'adams,"<ES P, P>",0,0,1,0,0,0,0,0,0,0,0,0,"Toldova, Kholodilova (eds) 2018",,
3118,гладить2,,,glad'əndams,"<ES P, P>",0,0,1,0,0,0,0,0,0,0,0,0,"Toldova, Kholodilova (eds) 2018",,
38,расстилать,,,acams,"<ES P, P>",0,0,1,0,0,0,0,0,0,0,0,0,"Toldova, Kholodilova (eds) 2018",,
38,разворачивать,,,kel'əptəms,"<ES P, P>",0,0,1,0,0,0,0,0,0,0,0,0,"Toldova, Kholodilova (eds) 2018",,
2224,сгибать,,,mɛn'd'əms,"<ES P, P>",0,0,1,0,0,0,0,0,0,0,0,0,"Toldova, Kholodilova (eds) 2018",,
700,нести,,,kandəms,"<ES P, P>",0,0,1,0,0,0,0,0,0,0,0,0,"Toldova, Kholodilova (eds) 2018",,
1410,знать,,,sodams,"<ES S, S>",0,0,1,0,0,0,1,0,0,0,0,1,"Toldova, Kholodilova (eds) 2018",,
1536,понимать,,,šar̥'kəd'əms,"<ES S, S>",0,0,1,0,0,0,1,0,0,0,0,1,"Toldova, Kholodilova (eds) 2018",,
923,любить,,,kel'gəms,"<ES S, S>",0,0,1,0,0,0,1,0,0,0,0,1,"Toldova, Kholodilova (eds) 2018",пример: 427,
1409,видеть,,,n'ɛjəms,"<ES S, S>",0,0,1,0,0,0,1,0,0,0,0,1,"Toldova, Kholodilova (eds) 2018",,
1590,ждать,,,učəms,"<ES S, S>",0,0,1,0,0,0,1,0,0,0,0,1,"Toldova, Kholodilova (eds) 2018",,
