Фрейм,Значение,А-группа,А-класс (сумма),Форма,"А-класс (реальный, основа)",перф.EP,перф.ES,перф.P,перф.P2,перф.S,перф.Q,перф.MP,перф.EMP,имперф.P,имперф.P2,имперф.S,имперф.MP,Комментарии
,чесаться,lügəštaš,"<EP P, P>",lügəštaš,"<EP P, P>",1,0,1,0,0,0,0,0,1,0,0,0,
,дружить,kelšaš,"<EP P, P>",kelšaš,"<EP P, P>",1,0,1,0,0,0,0,0,1,0,0,0,
,храпеть,korgəktaš,"<EP P, P>",korgəktaš,"<EP P, P>",1,0,1,0,0,0,0,0,1,0,0,0,
,бежать,kuržaš,"<EP P, P>",kuržaš,"<EP P, P>",1,0,1,0,0,0,0,0,1,0,0,0,
,кипеть,šolaš,"<EP P, P1 P2>",šolaš,"<EP P, P1 P2>",1,0,1,0,0,0,0,0,1,1,0,0,
,лететь,čoŋeštaš,"<EP P, P1 P2>",čoŋeštaš,"<EP P, P1 P2>",1,0,1,0,0,0,0,0,1,1,0,0,
,"касаться, трогать, задевать",tükaš,"<ES MP, MP>",tükaš,"<ES MP, MP>",0,1,0,0,0,0,1,0,0,0,0,1,
,стрелять,lüjkalaš,"<ES MP, MP>",lüjkalaš,"<ES MP, MP>",0,1,0,0,0,0,1,0,0,0,0,1,
,крутиться,pördaš,"<ES MP, MP>",pördaš,"<ES MP, MP>",0,1,0,0,0,0,1,0,0,0,0,1,
,целовать,šupšalaš,"<ES MP, MP>",šupšalaš,"<ES MP, MP>",0,1,0,0,0,0,1,0,0,0,0,1,
,капать,tüčaltaš,"<ES MP, MP>",tüčaltaš,"<ES MP, MP>",0,1,0,0,0,0,1,0,0,0,0,1,
,свистеть,šüškaltaš,"<ES P MP, P MP>",šüškaltaš,"<ES P MP, P MP>",0,1,1,0,0,0,1,0,1,0,0,1,
,бросать,kudaltaš,"<ES P MP, P MP>",kudaltaš,"<ES P MP, P MP>",0,1,1,0,0,0,1,0,1,0,0,1,
,пахать,kuralaš,"<ES P, P>",kuralaš,"<ES P, P>",0,1,1,0,0,0,0,0,1,0,0,0,
,надевать,čijaš,"<ES P, P>",čijaš,"<ES P, P>",0,1,1,0,0,0,0,0,1,0,0,0,
,чистить,erəktaš,"<ES P, P>",erəktaš,"<ES P, P>",0,1,1,0,0,0,0,0,1,0,0,0,
,пилить,jəgaš,"<ES P, P>",jəgaš,"<ES P, P>",0,1,1,0,0,0,0,0,1,0,0,0,
,"лить, сыпать",joktaraš,"<ES P, P>",joktaraš,"<ES P, P>",0,1,1,0,0,0,0,0,1,0,0,0,
,пить,jüaš,"<ES P, P>",jüaš,"<ES P, P>",0,1,1,0,0,0,0,0,1,0,0,0,
,"охлаждаться, остывать",jukšaš,"<ES P, P>",jukšaš,"<ES P, P>",0,1,1,0,0,0,0,0,1,0,0,0,
,гореть,jülaš,"<ES P, P>",jülaš,"<ES P, P>",0,1,1,0,0,0,0,0,1,0,0,0,
,"кричать, будить",kəčkəraš,"<ES P, P>",kəčkəraš,"<ES P, P>",0,1,1,0,0,0,0,0,1,0,0,0,
,"бить, избивать",kəraš,"<ES P, P>",kəraš,"<ES P, P>",0,1,1,0,0,0,0,0,1,0,0,0,
,слушать,koləštaš,"<ES P, P>",koləštaš,"<ES P, P>",0,1,1,0,0,0,0,0,1,0,0,0,
,копать,künčaš,"<ES P, P>",künčaš,"<ES P, P>",0,1,1,0,0,0,0,0,1,0,0,0,
,вянуть,ləvəžgaš,"<ES P, P>",ləvəžgaš,"<ES P, P>",0,1,1,0,0,0,0,0,1,0,0,0,
,забывать,mondaš,"<ES P, P>",mondaš,"<ES P, P>",0,1,1,0,0,0,0,0,1,0,0,0,
,петь,muraš,"<ES P, P>",muraš,"<ES P, P>",0,1,1,0,0,0,0,0,1,0,0,0,
,смотреть,ončaš,"<ES P, P>",ončaš,"<ES P, P>",0,1,1,0,0,0,0,0,1,0,0,0,
,приставать,pižedaš,"<ES P, P>",pižedaš,"<ES P, P>",0,1,1,0,0,0,0,0,1,0,0,0,
,открывать,počaš,"<ES P, P>",počaš,"<ES P, P>",0,1,1,0,0,0,0,0,1,0,0,0,
,"разбивать, ломать",pudərtaš,"<ES P, P>",pudərtaš,"<ES P, P>",0,1,1,0,0,0,0,0,1,0,0,0,
,падать,pureŋgajaš,"<ES P, P>",pureŋgajaš,"<ES P, P>",0,1,1,0,0,0,0,0,1,0,0,0,
,кусать,purlaš,"<ES P, P>",purlaš,"<ES P, P>",0,1,1,0,0,0,0,0,1,0,0,0,
,выигрывать,seŋaš,"<ES P, P>",seŋaš,"<ES P, P>",0,1,1,0,0,0,0,0,1,0,0,0,
,сердить,sərəktaš,"<ES P, P>",sərəktaš,"<ES P, P>",0,1,1,0,0,0,0,0,1,0,0,0,
,гнить,šüjaš,"<ES P, P>",šüjaš,"<ES P, P>",0,1,1,0,0,0,0,0,1,0,0,0,
,таять,šulaš,"<ES P, P>",šulaš,"<ES P, P>",0,1,1,0,0,0,0,0,1,0,0,0,
