Фрейм,Значение,А-группа,А-класс,Форма,А-класс,перф.EP,перф.EMP,перф.ES,перф.Q,перф.P,перф.P2,перф.MP,перф.S,имперф.P,имперф.P2,имперф.S,имперф.MP,Источник,Комментарии,Легенда,
1039,показывать,,,anžə̑ktaš,"<ES P, P>",0,0,1,0,1,0,0,0,1,0,0,0,Kashkin et al. (eds) 2023,,1,у глагола есть эта а-интерпретация
707,вспоминать,,,äšӛndäräš,"<ES P, P>",0,0,1,0,1,0,0,0,1,0,0,0,Kashkin et al. (eds) 2023,,0,у глагола нет этой а-интерпретации
,закрывать,,,čüčäš,"<ES P, P>",0,0,1,0,1,0,0,0,1,0,0,0,Kashkin et al. (eds) 2023,есть примеры: 331,—,нет данных (не нашли в литературе)
"1309, 1828","просить, спрашивать",,,jadaš,"<ES P, P>",0,0,1,0,1,0,0,0,1,0,0,0,Kashkin et al. (eds) 2023,,,
2891,"привязывать, завязывать",,,ja(l)štaš,"<ES P, P>",0,0,1,0,1,0,0,0,1,0,0,0,Kashkin et al. (eds) 2023,,,
1418,копать,,,kapajaš,"<ES P, P>",0,0,1,0,1,0,0,0,1,0,0,0,Kashkin et al. (eds) 2023,,,
1623,говорить,,,kelesäš,"<ES P, P>",0,0,1,0,1,0,0,0,1,0,0,0,Kashkin et al. (eds) 2023,,,
1786,сохнуть,,,koškaš,"<ES P, P>",0,0,1,0,1,0,0,0,1,0,0,0,Kashkin et al. (eds) 2023,,,
479,расти,,,kuškaš,"<ES P, P>",0,0,1,0,1,0,0,0,1,0,0,0,Kashkin et al. (eds) 2023,,,
3207,подниматься,,,kuzaš,"<ES P, P>",0,0,1,0,1,0,0,0,1,0,0,0,Kashkin et al. (eds) 2023,есть примеры:332,,
183,печь,,,küktäš,"<ES P, P>",0,0,1,0,1,0,0,0,1,0,0,0,Kashkin et al. (eds) 2023,,,
702,ловить,,,kə̑čaš,"<ES P, P>",0,0,1,0,1,0,0,0,1,0,0,0,Kashkin et al. (eds) 2023,,,
1921,пахать,,,kə̑ralaš,"<ES P, P>",0,0,1,0,1,0,0,0,1,0,0,0,Kashkin et al. (eds) 2023,,,
1735,рвать,,,kə̑škedäš,"<ES P, P>",0,0,1,0,1,0,0,0,1,0,0,0,Kashkin et al. (eds) 2023,,,
1512,вставать,,,kӛn'ӛläš,"<ES P, P>",0,0,1,0,1,0,0,0,1,0,0,0,Kashkin et al. (eds) 2023,,,
252,пугать,,,lüdӛktäš,"<ES P, P>",0,0,1,0,1,0,0,0,1,0,0,0,Kashkin et al. (eds) 2023,,,
724,читать,,,lə̑daš,"<ES P, P>",0,0,1,0,1,0,0,0,1,0,0,0,Kashkin et al. (eds) 2023,,,
1523,забывать,,,mondaš,"<ES P, P>",0,0,1,0,1,0,0,0,1,0,0,0,Kashkin et al. (eds) 2023,,,
,"сгребать, накладывать",,,optaš,"<ES P, P>",0,0,1,0,1,0,0,0,1,0,0,0,Kashkin et al. (eds) 2023,,,
1897,помогать,,,palšaš,"<ES P, P>",0,0,1,0,1,0,0,0,1,0,0,0,Kashkin et al. (eds) 2023,,,
680,ломать,,,pə̑də̑rtaš,"<ES P, P>",0,0,1,0,1,0,0,0,1,0,0,0,Kashkin et al. (eds) 2023,,,
