Название фрейма,Фрейм,Значение,А-группа,А-класс,Форма,А-класс,перф.EP,перф.EMP,перф.ES,перф.Q,перф.P,перф.P2,перф.MP,перф.S,имперф.P,имперф.P2,имперф.MP,имперф.S,Источник,Комментарии,,
ask,1828,просить,aanne,"<ES P, P>",aanne,"<ES P, P>",0,0,1,0,1,0,0,0,1,0,0,0,"[Кошелева, Рачинская, Егоров 2021]",,,
be glad,2192,радоваться,rɒɒmmšedde,"<S, S>",rɒɒmmšedde,"<S, S>",0,0,0,0,0,0,0,1,0,0,0,1,"[Кошелева, Рачинская, Егоров 2021]",,,
be ill,1847,болеть,kebbše,"<P, P>",kebbše,"<P, P>",0,0,0,0,1,0,0,0,1,0,0,0,"[Кошелева, Рачинская, Егоров 2021]",,,
become,1990,становиться,šeennte,"<ES, P>",šeennte,"<ES, P>",0,0,1,0,0,0,0,0,1,0,0,0,"[Кошелева, Рачинская, Егоров 2021]",,,
bite,1403,кусать,kaac'c'k'e,"<Q MP, MP>",kaac'c'k'e,"<Q MP, MP>",0,0,0,1,0,0,1,0,0,0,1,0,"[Кошелева, Рачинская, Егоров 2021]",,,
boil,792,кипеть,tuullte / tuul’l’tje / tuultne,"<EP P1 P2, P1 P2>",tuullte,"<P, P>",0,0,0,0,1,0,0,0,1,0,0,0,"[Кошелева, Рачинская, Егоров 2021]",,,
boil,792,закипеть,tuullte / tuul’l’tje / tuultne,"<EP P1 P2, P1 P2>",tuul’l’tje,"<EP, ->",1,0,0,0,0,0,0,0,0,0,0,0,,,,
boil,792,закипать,tuullte / tuul’l’tje / tuultne,"<EP P1 P2, P1 P2>",tuultne,"<P2, P2>",0,0,0,0,0,1,0,0,0,1,0,0,,,,
build,1840,строить,tuujjše,"<ES P, P>",tuujjše,"<ES P, P>",0,0,1,0,1,0,0,0,1,0,0,0,,,,
burn,1428,гореть,puul'l'e,"<ES P, P>",puul'l'e,"<ES P, P>",0,0,1,0,1,0,0,0,1,0,0,0,,,Легенда,
buy,1869,покупать,vues's't'e,"<ES, P>",vues's't'e,"<ES, P>",0,0,1,0,0,0,0,0,1,0,0,0,,,1,у глагола есть эта а-интерпретация
buzz (mosquito),,жужжать (о комаре),tɨŋŋke,"<P, P>",tɨŋŋke,"<P, P>",0,0,0,0,1,0,0,0,1,0,0,0,,,0,у глагола нет этой а-интерпретации
catch,702,поймать,sɒɒgge,"<ES, ->",sɒɒgge,"<ES, ->",0,0,1,0,0,0,0,0,0,0,0,0,,,—,нет данных (не нашли в литературе)
come,1446,прийти,pued'd'e,"<ES, ->",pued'd'e,"<ES, ->",0,0,1,0,0,0,0,0,0,0,0,0,,,,
cry,1839,плакать,luuj̥j̥ke,"<P, P>",luuj̥j̥ke,"<P, P>",0,0,0,0,1,0,0,0,1,0,0,0,,,,
die,1494,умереть,jaamme,"<ES, ->",jaamme,"<ES, ->",0,0,1,0,0,0,0,0,0,0,0,0,,,,
do,"734, 2575",делать,lɨhke,"<ES P, P>",lɨhke,"<ES P, P>",0,0,1,0,1,0,0,0,1,0,0,0,,,,
drink,1401,пить,jugge,"<P, P>",jugge,"<P, P>",0,0,0,0,1,0,0,0,1,0,0,0,,,,
drown,1904,тонуть,keeccke,"<ES, P>",keeccke,"<ES, P>",0,0,1,0,0,0,0,0,1,0,0,0,,,,
fall,1280,упасть,jorre,"<ES, ->",jorre,"<ES, ->",0,0,1,0,0,0,0,0,0,0,0,0,,,,
fall (rain),1253,"идти, падать (о дожде)",abbre,"<P, P>",abbre,"<P, P>",0,0,0,0,1,0,0,0,1,0,0,0,,,,
fall asleep,1106,заснуть,naag'ruvve,"<ES, ->",naag'ruvve,"<ES, ->",0,0,1,0,0,0,0,0,0,0,0,0,,,,
find,719,найти,kɒɒvvne,"<ES, ->",kɒɒvvne,"<ES, ->",0,0,1,0,0,0,0,0,0,0,0,0,,,,
flow,2003,течь,koollke,"<P, P>",koollke,"<P, P>",0,0,0,0,1,0,0,0,1,0,0,0,,,,
forget,1523,забыть,vuajjlaht'e,"<ES, ->",vuajjlaht'e,"<ES, ->",0,0,1,0,0,0,0,0,0,0,0,0,,,,
get angry,2215,рассердиться,s'eennte,"<ES, ->",s'eennte,"<ES, ->",0,0,1,0,0,0,0,0,0,0,0,0,,,,
get frightened,,испугаться,suurrkne,"<ES, ->",suurrkne,"<ES, ->",0,0,1,0,0,0,0,0,0,0,0,0,,,,
get lost,423,заблудиться,čɒɒjjde,"<ES, ->",čɒɒjjde,"<ES, ->",0,0,1,0,0,0,0,0,0,0,0,0,,,,
get married,203,жениться,nɒɒj̥j̥tledde,"<ES, P>",nɒɒj̥j̥tledde,"<ES, P>",0,0,1,0,0,0,0,0,1,0,0,0,,,,
get tired,1996,уставать,v'iisse,"<ES, P>",v'iisse,"<ES, P>",0,0,1,0,0,0,0,0,1,0,0,0,,,,
give,1447,давать,an'n'te,"<ES, P>",an'n'te,"<ES, P>",0,0,1,0,0,0,0,0,1,0,0,0,,,,
go,695,пойти,vuul'l'ke,"<EP, ->",vuul'l'ke,"<EP, ->",1,0,0,0,0,0,0,0,0,0,0,0,,,,
go (by foot),1443,идти (пешком),vaan'n'c'e,"<P, P>",vaan'n'c'e,"<P, P>",0,0,0,0,1,0,0,0,1,0,0,0,,,,
go (by vehicle),"3291, 367",ехать,jɒd'd'e,"<P, P>",jɒd'd'e,"<P, P>",0,0,0,0,1,0,0,0,1,0,0,0,,,,
hold,1448,держать,tuul'l'je,"<S, S>",tuul'l'je,"<S, S>",0,0,0,0,0,0,0,1,0,0,0,1,,,,
hurry,754,спешить,kɨr̥te,"<P, P>",kɨr̥te,"<P, P>",0,0,0,0,1,0,0,0,1,0,0,0,,,,
itch,3855,чесаться (S),suvve,"<S, S>",suvve,"<S, S>",0,0,0,0,0,0,0,1,0,0,0,1,,,,
jump,1829,прыгать,ɲuččk'e,"<MP, MP>",ɲuččk'e,"<MP, MP>",0,0,0,0,0,0,1,0,0,0,1,0,,,,
kiss,578,целовать,n'iisse,"<P MP, P MP>",n'iisse,"<P MP, P MP>",0,0,0,0,1,0,1,0,1,0,1,0,,,,
knock,2396,cтучать,taagge,"<P, P>",taagge,"<P, P>",0,0,0,0,1,0,0,0,1,0,0,0,,,,
know,3626,знать,t'iidde / t'iid's'e,"<ES S, S>",t'iidde,"<S, S>",0,0,0,0,0,0,0,1,0,0,0,1,,,,
know,3626,узнать,t'iidde / t'iid's'e,"<ES S, S>",t'iid's'e,"<ES, ->",0,0,1,0,0,0,0,0,0,0,0,0,,,,
know how to,2238,уметь,maaht'e,"<S, S>",maaht'e,"<S, S>",0,0,0,0,0,0,0,1,0,0,0,1,,,,
leave,1752,уйти,ujjte,"<ES, ->",ujjte,"<ES, ->",0,0,1,0,0,0,0,0,0,0,0,0,,,,
