Название фрейма,Фрейм,Значение,А-группа,А-класс группы,Форма,А-класс,перф.EP,перф.ES,перф.P,перф.P2,перф.S,перф.MP,перф.EMP,имперф.P,имперф.P2,имперф.S,имперф. MP,Источник,Комментарии,,,
live,2309,жить,jäši,"<S, S>",jäši,"<S, S>",0,0,0,0,1,0,0,0,0,1,0,[Tatevosov et al. 2017],,Легенда,,
wait (for),1590,ждать,ketä,"<S, S>",ketä,"<S, S>",0,0,0,0,1,0,0,0,0,1,0,[Tatevosov et al. 2017],,,,
suffer,1101,мучиться,azaplana,"<P, P>",azaplana,"<P, P>",0,0,1,0,0,0,0,1,0,0,0,[Tatevosov et al. 2017],,1,,у глагола есть эта а-интерпретация
<NA>,0,жужжать,bezeldi,"<P, P>",bezeldi,"<P, P>",0,0,1,0,0,0,0,1,0,0,0,[Tatevosov et al. 2017],,0,,у глагола нет этой а-интерпретации
find,719,искать,ezli,"<P, P>",ezli,"<P, P>",0,0,1,0,0,0,0,1,0,0,0,[Tatevosov et al. 2017],,—,,нет данных (не нашли в литературе)
run,1519,бегать,jegerä,"<P, P>",jegerä,"<P, P>",0,0,1,0,0,0,0,1,0,0,0,[Tatevosov et al. 2017],,,,
rain (raining),1253,идти (о дожде),jawa,"<P, P>",jawa,"<P, P>",0,0,1,0,0,0,0,1,0,0,0,[Tatevosov et al. 2017],,,,
scream (produce a cry),3809,кричать,kɤčkɤra,"<P, P>",kɤčkɤra,"<P, P>",0,0,1,0,0,0,0,1,0,0,0,[Tatevosov et al. 2017],,,,
fly (move through air),1441,лететь,ɤča,"<P, P>",ɤča,"<P, P>",0,0,1,0,0,0,0,1,0,0,0,[Tatevosov et al. 2017],,,,
think,2271,думать,ujlɤj,"<P, P>",ujlɤj,"<P, P>",0,0,1,0,0,0,0,1,0,0,0,[Tatevosov et al. 2017],,,,
smoke (inhale),1689,"курить, тянуть",tarta,"<P, P>",tarta,"<P, P>",0,0,1,0,0,0,0,1,0,0,0,[Tatevosov et al. 2017],,,,
hurry,754,спешить,ašɤga,"<P, P>",ašɤga,"<P, P>",0,0,1,0,0,0,0,1,0,0,0,[Tatevosov et al. 2017],,,,
wave (verb),3544,махать,selkä,"<MP, MP>",selkä,"<MP, MP>",0,0,0,0,0,1,0,0,0,0,1,[Tatevosov et al. 2017],,,,
see,1409,видеть,kürä,"<ES, S>",kürä,"<ES, S>",0,1,0,0,1,0,0,0,0,1,0,[Tatevosov et al. 2017],"в западных говорах <ES S, S>",,,
believe,1890,верить,ɤšana,"<ES, S>",ɤšana,"<ES, S>",0,1,0,0,1,0,0,0,0,1,0,[Tatevosov et al. 2017],"в западных говорах <ES S, S>",,,
like,1117,нравиться,ɤšɤj,"<ES, S>",ɤšɤj,"<ES, S>",0,1,0,0,1,0,0,0,0,1,0,[Tatevosov et al. 2017],,,,
touch,1892,касаться2,kagɤla,"<ES, S>",kagɤla,"<ES, S>",0,1,0,0,1,0,0,0,0,1,0,[Tatevosov et al. 2017],,,,
feel,1079,чувствовать,tɤja,"<ES, S>",tɤja,"<ES, S>",0,1,0,0,1,0,0,0,0,1,0,[Tatevosov et al. 2017],,,,
