Название фрейма,Фрейм,Значение,А-группа,А-класс (сумма),Форма,А-класс (реальный),перф.EP,перф.ES,перф.P,перф.P2,перф.S,перф.MP,перф.EMP,перф.Q,имперф.P,имперф.P2,имперф.S,имперф.MP,Источник,Комментарии
"PUT ON, WEAR","158, 976","надевать, носить",lukus,"<ES, S; P, S>",lukus,"<ES, S; P, S>",0,1,0,0,1,0,0,0,1,0,1,0,[Горбунова 2016],
EAT,1336,есть,qaneq,"<ES, P, S; P, S>",qaneq,"<ES, P, S; P, S>",0,1,1,0,1,0,0,0,1,0,1,0,[Горбунова 2016],
,,гоняться,hyaw,"<EP, P; P>",hyaw,"<EP, P; P>",1,0,1,0,0,0,0,0,1,0,0,0,[Горбунова 2016],
,,работать в поле,qumah,<P; P>,qumah,<P; P>,0,0,1,0,0,0,0,0,1,0,0,0,[Горбунова 2016],
BUY,1869,покупать,bayi,<ES; P>,bayi,<ES; P>,0,1,0,0,0,0,0,0,1,0,0,0,[Горбунова 2016],
"REPAIR, BUILD, MAKE","2243, 1840, 734","строить, чинить, создавать",kbalay,"<ES, P; P>",kbalay,"<ES, P; P>",0,1,1,0,0,0,0,0,1,0,0,0,[Горбунова 2016],
BE,1579,находиться где-либо,aki,<S; S>,aki,<S; S>,0,0,0,0,1,0,0,0,0,0,1,0,[Горбунова 2016],
"KNOW, UNDERSTAND","3626, 1536","знать, понимать",baq,"<ES, S; S>",baq,"<ES, S; S>",0,1,0,0,1,0,0,0,0,0,1,0,[Горбунова 2016],
FALL,1280,упасть,takuy,<ES; S>,takuy,<ES; S>,0,1,0,0,0,0,0,0,0,0,1,0,[Горбунова 2016],
BURNING,1428,сгореть,tqoyiŋ,<ES; —>,tqoyiŋ,<ES; —>,0,1,0,0,0,0,0,0,0,0,0,0,[Горбунова 2016],
COUGH,879,кашлять,tɁasi,"<ES, MP; MP>",tɁasi,"<ES, MP; MP>",0,1,0,0,0,1,0,0,0,0,0,1,[Горбунова 2016],
