Фрейм,Значение,Форма,А-класс (реальный),перф.EP,перф.ES,перф. Q,перф.P,перф.P2,перф.S,перф.MP,перф.EMP,имперф.P,имперф.P2,имперф. MP,имперф.S,Источник,Комментарии
719,находить,ol-,"<ES, —>",0,1,0,0,0,0,0,0,0,0,0,0,Овсянникова 2009,"на странице 106 указаны некоторые глаголы с вопросом под интерпретациями. itk- 'верить' <ES ?S, S>; bää- 'жить', tolʁal-'руководить' <?ES S, S>"
3072,терять,gee-,"<ES, —>",0,1,0,0,0,0,0,0,0,0,0,0,Овсянникова 2009,"также в комментариях есть предпочтения по естественности интерпретации, обозначенные знаком больше"
2104,брать,av-,"<ES, P>",0,1,0,0,0,0,0,0,1,0,0,0,Овсянникова 2009,"2104 покрывает и ES и P, 1749 только P поэтому его не беру"
1494,умирать,ükə-,"<ES, P>",0,1,0,0,0,0,0,0,1,0,0,0,Овсянникова 2009,
724,читать,umšə-,"<ES P, P>",0,1,0,1,0,0,0,0,1,0,0,0,Овсянникова 2009,
2334,таять,xääl-,"<ES P, P>",0,1,0,1,0,0,0,0,1,0,0,0,Овсянникова 2009,
1468,искать,xää-,"<P, P>",0,0,0,1,0,0,0,0,1,0,0,0,Овсянникова 2009,
1819,смотреть,xälä-,"<P, P>",0,0,0,1,0,0,0,0,1,0,0,0,Овсянникова 2009,
0,дружить,üürlə-,"<S, S>",0,0,0,0,0,1,0,0,0,0,0,1,Овсянникова 2009,фрейма типа action нет
1590,ждать,külä-,"<S, S>",0,0,0,0,0,1,0,0,0,0,0,1,Овсянникова 2009,
254,прилипать,naaldə-,"<ES, S>",0,1,0,0,0,1,0,0,0,0,0,1,Овсянникова 2009,ниже перевод дан как примыкать
1410,знать,med-,"<ES, S>",0,1,0,0,0,1,0,0,0,0,0,1,Овсянникова 2009,
1419,бояться,ää-,"<ES S, S>",0,1,0,0,0,1,0,0,0,0,0,1,Овсянникова 2009,ES>S
"1585, 1106",спать,unt-,"<ES S, S>",0,1,0,0,0,1,0,0,0,0,0,1,Овсянникова 2009,ES>S
1355,смеяться,inä-,"<EP P, P>",1,0,0,1,0,0,0,0,1,0,0,0,Овсянникова 2009,EP>P
1879,танцевать,biil-,"<EP P, P>",1,0,0,1,0,0,0,0,1,0,0,0,Овсянникова 2009,P>EP
1172,стрелять,xa-,"<Q MP, MP>",0,0,1,0,0,0,1,0,0,0,1,0,Овсянникова 2009,
2396,стучать,cok-,"<Q MP, MP>",0,0,1,0,0,0,1,0,0,0,1,0,Овсянникова 2009,"в общей таблице класс указан как <MP P, MP>, что неправда по примерам и не соответствует таблице на странице 111, вероятно опечатка"
3544,махать,dajl-,"<EMP Q MP, MP>",0,0,1,0,0,0,1,1,0,0,1,0,Овсянникова 2009,MP>EMP
52,дрожать,čičər-,"<EMP Q MP, MP>",0,0,1,0,0,0,1,1,0,0,1,0,Овсянникова 2009,EMP>MP
1428,гореть,šat-,"<EP ES P, P>",1,1,0,1,0,0,0,0,1,0,0,0,Овсянникова 2009,EP>P
1448,держать,bär-,"<ES P S, P S>",0,1,0,1,0,1,0,0,1,0,0,1,Овсянникова 2009,
158,надевать,ömsə-,"<ES P S, P S>",0,1,0,1,0,1,0,0,1,0,0,1,Овсянникова 2009,
761,покрывать,bürkə-,"<ES P S, P S>",0,1,0,1,0,1,0,0,1,0,0,1,Овсянникова 2009,
1523,забывать,martə-,"<ES S, P>",0,1,0,0,0,1,0,0,1,0,0,0,Овсянникова 2009,
1447,дать,,"<ES, P>",0,1,0,0,0,0,0,0,1,0,0,0,Овсянникова 2009,
1456,бросать,,"<ES, P>",0,1,0,0,0,0,0,0,1,0,0,0,Овсянникова 2009,
3122,красить,,"<ES P, P>",0,1,0,1,0,0,0,0,1,0,0,0,Овсянникова 2009,
2006,наполниться,,"<ES P, P>",0,1,0,1,0,0,0,0,1,0,0,0,Овсянникова 2009,"2006 каузативный, непонятно что с несовпадающей каузацией делать"
923,любить,durlə-,"<ES, S>",0,1,0,0,0,0,0,0,0,0,0,1,Овсянникова 2009,
2192,радоваться,bajərl-,"<ES S, S>",0,1,0,0,0,1,0,0,0,0,0,1,Овсянникова 2009,ES>S
1408,слышать,soŋsə-,"<ES S, S>",0,1,0,0,0,1,0,0,0,0,0,1,Овсянникова 2009,ES>S
1409,видеть,üz-,"<ES S, S>",0,1,0,0,0,1,0,0,0,0,0,1,Овсянникова 2009,ES>S
"570, 1442",стоять,zogsə-,"<ES S, S>",0,1,0,0,0,1,0,0,1,0,0,1,Овсянникова 2009,
2875,звенеть,ǯiŋnə-,"<EP P, P>",1,0,0,1,0,0,0,0,1,0,0,0,Овсянникова 2009,P>EP
2708,разговаривать,küünd-,"<EP P, P>",1,0,0,1,0,0,0,0,1,0,0,0,Овсянникова 2009,P>EP
1441,лететь,nis-,"<EP P, P>",1,0,0,1,0,0,0,0,1,0,0,0,Овсянникова 2009,P>EP
2868,гнать,tuu-,"<EP P, P>",1,0,0,1,0,0,0,0,1,0,0,0,Овсянникова 2009,
3287,цвести,cecgälə-,"<EP P, P>",1,0,0,1,0,0,0,0,1,0,0,0,Овсянникова 2009,EP>P
0,мычать,möör-,"<EP P, P>",1,0,0,1,0,0,0,0,1,0,0,0,Овсянникова 2009,EP>P
1519,бегать,güü-,"<EP P, P>",1,0,0,1,0,0,0,0,1,0,0,0,Овсянникова 2009,EP>P
754,спешить,adʁə-,"<EP P, P>",1,0,0,1,0,0,0,0,1,0,0,0,Овсянникова 2009,P>EP
55,шептать,šiməldə-,"<EP P, P>",1,0,0,1,0,0,0,0,1,0,0,0,Овсянникова 2009,P>EP
1439,плавать,ööm-,"<EP P, P>",1,0,0,1,0,0,0,0,1,0,0,0,Овсянникова 2009,P>EP
1085,следовать,daxə-,"<P, P>",0,0,0,1,0,0,0,0,1,0,0,0,Овсянникова 2009,
1828,просить,sur-,"<P, P>",0,0,0,1,0,0,0,0,1,0,0,0,Овсянникова 2009,
984,работать,ködəl-,"<P, P>",0,0,0,1,0,0,0,0,1,0,0,0,Овсянникова 2009,
879,кашлять,xanja-,"<EMP Q MP, MP>",0,0,1,0,0,0,1,1,0,0,1,0,Овсянникова 2009,EMP>MP
1829,прыгать,ʁäräd-,"<EMP Q MP, MP>",0,0,1,0,0,0,1,1,0,0,1,0,Овсянникова 2009,MP>EMP
578,целовать,ümsə-,"<Q MP, MP>",0,0,1,0,0,0,1,0,0,0,1,0,Овсянникова 2009,
1403,кусать,zuu-,"<Q MP, MP>",0,0,1,0,0,0,1,0,0,0,1,0,Овсянникова 2009,
"1416, 1649",сидеть,suu-,"<ES P S, P S>",0,1,0,1,0,1,0,0,1,0,0,1,Овсянникова 2009,
"215, 1411",лежать,kevt-,"<ES P S, P S>",0,1,0,1,0,1,0,0,1,0,0,1,Овсянникова 2009,
