frame_id,frame
1,LIE (REST)
2,BE ALIVE OR LIFE
3,LEARN
4,SEE
5,FALL ASLEEP
6,PLAY
7,WRITE
8,GO
9,FLY (MOVE THROUGH AIR)
10,SHOUT
11,SPIT
12,COUGH
13,THROW
14,EXPLODE
15,DIE
16,DIG
17,GIVE
18,SWELL
19,DRIVE (CATTLE)
20,WORK (ACTIVITY)
21,GRAZE
22,LOOK FOR
23,WAIT (FOR)
24,BOIL (OF LIQUID)
25,LAUGH
26,RUN
27,"DWELL (LIVE, RESIDE)"
28,LOVE
29,FEAR (BE AFRAID)
30,OPEN
31,TAKE
32,GO OUT
33,EAT
34,COME
35,WASH
36,BREAK (CLEAVE)
37,MELT
38,ROAST OR FRY
39,ENTER
40,BREAK (BREAKING)
41,TEAR (SHRED)
42,FREEZE
43,FALL
44,FIND
45,GET LOST
46,SIT
47,KNOW (SOMETHING)
48,CATCH
49,STAND UP
50,BECOME
51,FORGET
52,BITE
53,BARK
54,SNORE
55,BOIL (SOMETHING)
56,REMAIN
57,LIKE
58,MISPLACE
59,WAVE
60,PULL
61,TURN AROUND
62,TOUCH
63,BURNING
64,HOW MUCH
65,KNIT
66,BECOME SICK
67,ROT
68,SHOOT
69,BOIL
70,BARKING
71,STRIKE OR BEAT
72,ACHE
73,HOLD OR TAKE
74,COOK (SOMETHING)
75,COME BACK
76,FIGHT
77,THINK (REFLECT)
78,LIVE
79,SHARPEN (SOMETHING)
80,FALL (OF SNOW AND RAIN)
81,DRIP (FALL IN GLOBULES)
82,FINISH
83,SMOKE (INHALE)
84,REST OR SLEEP
85,POUR
86,LIE DOWN
87,BRAKE
88,WAVE (VERB)
89,BE ABLE
90,SUFFER
91,PUT ON
92,BEGIN OR START
93,EXPLAIN
94,PLOUGH
95,SOIL
96,SING
97,SAW (SOMETHING)
98,WIN
99,SWEEP
100,REMEMBER
101,HELP
102,JOIN
103,ASK (REQUEST)
104,REPAIR
105,MAKE ANGRY (ANNOY)
106,BE ANGRY
107,MISS (SOMEBODY)
108,LISTEN
109,HEAR
110,TELL
111,DRY UP
112,HURRY
113,FLOW
114,HIT
115,GET TIRED
116,LEAVE
117,BLOOM
118,KISS
119,ITCH (CAUSE ITCHING OR FEEL ITCHY)
120,PEEL
121,FEEL
122,BELIEVE
123,DO
124,LIGHT (IGNITE)
125,SHAKE
126,CURE
127,CRY
128,WAKE UP
129,KILL
130,READ
131,VOMIT
132,MEET
133,HOWL
134,EXTINGUISH
135,BECOME EXTINGUISHED
136,BURN
137,GNAW
138,MOVE
139,MAKE
140,THINK
141,FRY
142,RIPEN
143,BECOME SOUR
144,PUT
145,PAINT (SOMETHING)
146,DESTROY
147,TORTURE
148,HOPE
149,SNIFF
150,STOP DOING
151,SWIM
152,BUY
153,SPOIL (SOMEBODY OR SOMETHING)
154,SLIP
155,TIE UP (TETHER)
156,JUMP
157,HIDE
158,UNTIE
159,GROW
160,COMB (VERB)
161,CUT
162,BE BORN
163,DROP (SOMETHING)
164,CHOP
165,SCOLD
166,WHISTLE
167,SOW SEEDS
168,SQUEAK
169,TAKE OFF
170,GATHER
171,SUCK
172,GO DOWN (DESCEND)
173,DANCE
174,SINK (DESCEND)
175,FADE (LOOSE COLOR)
176,COVER
177,STUDY
178,COMMEND
179,WANT
180,SCRATCH
181,CLEAN (SOMETHING)
182,RING (MAKE SOUND)
183,SKATE
184,GUILTY
185,HEAT UP
186,RISE (ONESELF)
187,REJOICE
188,HEAR OR LISTEN
189,HANG
190,ARRIVE
191,BREAK (DESTROY OR GET DESTROYED)
192,STICKING
193,FILL
194,LOSE
195,HURT (SENSE PAIN)
196,RESEMBLE
197,SMELL (PERCEIVE)
198,RETURN HOME
199,KNOW (SOMEBODY)
200,BURN (SOMETHING)
201,BORE
202,GET WET
203,LEAD (GUIDE)
204,IRON (CLOTHES)
205,SPREAD OUT
206,BEND (SOMETHING)
207,CARRY
208,SHOW
209,FRIGHTEN
210,DECEIVE
211,HIDE (ONESELF)
212,SMILE
213,WASH (ONESELF)
214,CARE FOR
215,QUARREL (VERB)
216,LOOSE
217,SPOIL (BECOME SPOILED)
218,DRIVE OR IMPEL OR RIDE
219,DRIP OR DROP SOMETHING
220,BUILD
221,DROWN
222,RAIN (RAINING)
223,MARRY
224,KNOCK
225,KNOW HOW
226,LICK
227,SAY
228,SCREAM (PRODUCE A CRY)
229,FAME
230,ANNOUNCE
231,WEAR
232,DIRTY
233,APPROACH
234,COLD (FEELING COLD)
235,BE CALLED BY NAME
236,VISIBLE
237,SURPRISED
238,HAPPY
239,LAY (VERB)
240,FIND OUT
241,IRRIGATE
242,SCREW
243,DRIP (EMIT LIQUID)
244,SKI
245,SHIVER
246,WHISPER
247,FOLLOW
248,WORK (LABOUR)
