group_id,language_id,frame_id,term
1,1,1,š'əʎən
2,1,2,psewən
3,1,3,ṣ̂en
4,1,4,ʎeʁwən
5,1,5,čəjen
6,1,6,ǯegʷən
7,1,7,txen
8,1,8,kʷen
9,1,9,bəbən
10,1,10,kʷəwen
11,1,11,wəẑʷəntxen
12,1,12,psken
13,1,13,ʒən
14,1,14,qewen
15,1,15,ʎ̣en
16,1,16,ṭən
17,1,17,jetən
18,1,18,qebegən
19,2,19,ajda
20,2,20,ište
21,2,21,oto
22,2,22,petrire
23,2,23,qara
24,2,24,qajna
25,2,25,qattɨr
26,2,26,te:n
27,2,9,üš
28,2,27,tʲat
29,2,5,urta/uqta
30,2,28,tüš
31,2,29,qorqu
32,2,28,süj
33,2,30,ač
34,2,31,al
35,2,7,čij
36,2,32,čɨq
37,2,33,tʲe
38,2,34,kel
39,2,35,tʲun
40,2,36,o:t
41,2,21,pastux
42,2,37,qajɨl
43,2,38,qa:r
44,2,39,kir
45,2,40,sɨn
46,2,41,tal
47,2,42,toŋ
48,2,15,öl
49,2,41,üs
50,2,34,tʲet
51,2,44,tap
52,2,45,tʲule
53,2,4,kör
54,2,46,očar
55,2,47,oŋno
56,2,48,tut
57,2,49,tur
58,2,50,pol
59,2,51,uŋdu
60,2,12,töš
61,2,52,tište
62,2,13,tašta
63,2,53,ür
64,3,22,x
65,4,64,tavrăn-
66,4,34,kil-
67,4,65,šɨx-
68,4,45,šʲuxal-
69,4,47,ănlan-
70,4,66,čirle-
71,4,1,vɨrt-
72,4,24,věrě-
73,4,5,šɨvăr-
74,4,67,šer-
75,4,68,per-
76,5,3,nya
77,5,28,lɔ̃
78,5,29,vɔ
79,5,4,kpɔ
80,5,3,srɔ̃
81,5,22,dzi
82,5,69,fie
83,5,12,kpekpe
84,5,70,wo
85,5,15,ku
86,5,34,va
87,5,7,ŋlɔ
88,5,49,tso
89,6,26,cap
90,6,71,tüj
91,6,71,tü
92,6,72,qus
93,6,73,awru
94,6,29,qorq
95,6,31,al
96,6,13,at / sɨz
97,6,74,ijnan
98,6,4,kör
99,6,75,qajt
100,6,76,tübe
101,6,39,kir
102,6,77,tög
103,6,78,ulu
104,6,32,cɨq
105,6,65,eš
106,6,79,öcür
107,6,80,öcül
108,6,19,qɨsta
109,6,67,ciri
110,6,67,cir
111,6,81,ajt
112,6,82,zan / küj
113,6,83,kemir
114,6,84,aljan
115,6,17,ber
116,6,85,tep
117,6,86,et
118,6,34,zet
119,6,87,saʁɨš et
120,6,33,aša
121,6,88,quwur
122,6,88,quur
123,6,23,saqla
124,6,89,zaša
125,6,51,unut
126,6,3,bil
127,6,91,biš
128,6,92,zawa
129,6,22,izle / tap
130,6,93,aq
131,6,93,аʁ
132,6,94,cajqa
133,6,12,zötel et
134,6,24,qajna
135,6,95,acɨ
136,6,96,sal
137,6,16,qaz
138,6,97,boja
139,6,10,qɨcɨr
140,6,98,oj
141,6,99,bur
142,6,84,ajlan
143,6,52,qap
144,6,70,ür
145,6,1,zat
146,6,9,uc
147,6,77,quj
148,6,48,tut
149,6,40,sɨn
150,6,28,süj
151,6,100,bulʁa
152,6,101,qɨjna
153,6,101,qɨjɨna
154,6,35,zuw
155,6,35,zuu
156,6,102,kij
157,6,103,ɨšan
158,6,57,büsüre
159,6,104,ijiske
160,6,18,köp
161,6,56,qal
162,6,105,toxta
163,6,30,ас
164,6,21,küt
165,6,106,sür
166,6,107,kir bol
167,6,108,zɨrla
168,6,7,zaz
169,6,109,ic
170,6,110,zɨla
171,6,11,tükür
172,6,111,züz
173,6,111,süz
174,6,112,sɨpa
175,6,114,esinde / este tut
176,6,114,este tut
177,6,47,aŋɨla
178,6,115,buz
179,6,116,ucxala
180,6,117,qɨs
181,6,8,kel
182,6,118,tile
183,6,119,sekir
184,6,120,bux
185,6,20,išle
186,6,121,ij
187,6,50,sɨjɨn
188,6,122,ös
189,6,123,tara
190,6,41,zɨrt
191,6,124,kes
192,6,125,tuwu
193,6,126,zɨq
194,6,127,zar
195,6,129,sɨzʁɨr
196,6,130,sep
197,6,130,seb
198,6,46,oltur
199,6,131,cɨqɨrda
200,6,132,tɨŋɨla
201,6,133,ešit
202,6,25,kül
203,6,4,qara
204,6,134,teš
205,6,135,zɨj
206,6,136,em
207,6,137,quru
208,6,5,zuqla
209,6,138,ašɨq
210,6,139,tüš
211,6,50,bol
212,6,49,tur
213,6,49,süjel
214,6,140,qaq / ur
215,6,141,tepse
216,6,37,eri
217,6,45,tas bol
218,6,85,türt
219,6,142,bat
220,6,143,bile
221,6,144,oŋ
222,6,144,on
223,6,60,soz / tart
224,6,145,zap
225,6,15,öl
226,6,146,arɨ
227,6,147,bar / ket
228,6,148,oqu
229,6,149,maxta
230,6,8,atla
231,6,54,xurulda
232,6,151,uppa et
233,6,152,qašɨ
234,6,153,kici
235,6,154,tazala
236,7,110,qari
237,7,156,zūndi
238,7,153,s’is’ini
239,7,26,š’˳ā
240,7,157,z˳ē
241,7,24,h˳alli
242,7,82,b-ukã
243,7,9,eta
244,7,12,oHori
245,7,70,Habdi
246,7,68,L’˳ahrē
247,7,13,t’ani
248,7,120,bux
249,7,42,buzla
250,7,46,oltur
251,7,49,sũjel
252,7,49,tur
253,7,48,tut
254,7,1,zat
255,7,5,zuqla
256,7,106,b-eL’i
257,7,132,ašti
258,7,81,b-asã
259,7,149,b-es̄is̄i
260,7,88,b-eža
261,7,128,gulli
262,7,70,Hardi
263,7,4,b-ičʼã
264,7,37,b-ic’a
265,7,55,b-ihã
266,7,71,čʼini
267,7,119,k’anc’uri
268,7,158,q˳ā
269,7,159,qiq˳ani
270,7,109,s’ā
271,7,144,tark’uri
272,7,67,tordi
273,7,160,b-uL’ē
274,7,112,łē
275,7,10,ʕandi
276,7,161,b-aXiri
277,7,105,b-iRi
278,7,48,b-iš̄i
279,7,1,helli
280,7,46,haš’a
281,7,162,b-iX̄i
282,7,163,ãhã
283,7,4,hā̃
284,7,29,heri
285,7,164,k’ark’ari
286,7,27,b-uk’a
287,7,44,b-isā̃
288,7,15,b-ičʼa
289,7,165,b-ac’a
290,7,43,b-aha
291,7,102,eš̄a
292,7,166,qini
293,7,167,t’ek˳ã
294,7,41,Xabdi
295,7,168,b-ec’i
296,7,169,b-itē
297,7,47,b-ija
298,7,170,hali
299,7,47,b-uhã
300,7,57,b-oL’iri
301,7,74,b-oža
302,7,171,bał̄i
