language_id,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Family_name,Family_level_ID
1,Chuvash,,"55.49","47.16",chuv1255,chv,Turkic,turk1311
2,Nanai,,"48.43","134.80",nana1257,gld,Tungusic,tung1282
3,Karachay-Balkar,,"43.56","42.26",kara1465,krc,Turkic,turk1311
4,Bagvalal,,"42.40","46.10",bagv1239,kva,Nakh-Daghestanian,nakh1245
5,Moksha,,"54.19","42.67",moks1248,mdf,Uralic,ural1272
6,Eastern Mari,,"55.83","48.41",east2328,mhr,Uralic,ural1272
7,Western Mari,,"56.22","46.57",west2392,mrj,Uralic,ural1272
8,Kildin Saami,,"68.22","35.83",kild1236,sjd,Uralic,ural1272
9,Tatar,,"55.80","49.12",tata1255,tat,Turkic,turk1311
10,Tundra Nenets,,"66.18","71.02",nene1249,yrk,Uralic,ural1272
