lexeme_id,meaning_id
1,7
1,11
2,7
2,11
3,2
3,11
4,2
4,11
5,2
5,7
5,11
6,4
6,8
7,4
7,8
8,0
8,8
9,0
9,8
10,3
10,10
11,3
11,10
12,3
12,6
12,10
13,2
14,2
15,2
15,8
16,2
16,8
17,2
17,8
18,2
18,8
19,4
19,8
20,4
20,8
21,4
21,8
22,4
22,8
23,4
23,8
24,0
24,4
24,8
25,0
25,4
25,8
26,0
26,4
26,8
27,0
27,4
27,8
28,7
28,11
29,7
29,11
30,2
30,7
30,11
31,2
31,7
31,11
32,2
32,7
32,11
33,2
33,4
33,8
34,2
34,4
34,8
35,2
35,4
35,8
36,2
36,4
36,8
37,2
37,4
37,8
38,2
38,4
38,8
39,2
39,4
39,8
40,2
40,4
40,8
41,2
41,4
41,8
42,2
42,4
42,8
43,2
43,4
43,8
44,2
44,4
44,8
45,2
45,4
45,8
46,2
46,4
46,8
47,2
47,4
47,8
48,2
48,4
48,8
49,2
49,4
49,8
50,2
50,4
50,8
51,2
51,8
52,2
53,2
53,7
54,2
54,4
54,7
54,8
54,11
55,2
55,4
55,7
55,8
55,11
56,2
56,4
56,7
56,8
56,11
57,2
57,4
57,7
57,8
57,11
58,2
58,4
58,7
58,8
58,11
59,2
59,7
59,8
59,11
60,2
60,7
60,8
61,3
61,6
61,10
62,3
62,6
62,7
62,10
62,11
63,3
63,4
63,6
63,8
63,10
64,1
64,3
64,6
64,10
65,4
65,8
66,0
66,4
66,8
67,0
67,4
67,8
68,7
68,11
69,2
69,4
69,7
69,8
69,11
70,2
70,4
70,8
71,2
71,8
72,2
72,7
72,11
73,2
73,11
74,2
75,3
75,6
75,10
76,2
76,3
76,6
76,8
76,10
77,1
77,2
77,3
77,6
77,10
78,3
78,6
78,7
78,10
78,11
79,0
79,2
79,4
79,8
80,2
80,8
81,2
81,4
81,8
82,2
82,4
82,8
83,2
84,2
84,11
85,2
85,7
85,11
86,2
86,7
86,8
86,11
87,0
87,4
87,8
88,7
88,11
89,4
89,8
90,3
90,6
90,10
91,7
92,7
93,7
93,11
94,2
94,7
94,11
95,4
95,8
96,4
96,8
97,0
97,4
97,8
98,2
98,6
98,10
99,2
99,6
99,10
100,2
100,8
101,2
101,8
102,2
102,4
102,8
103,2
104,2
104,7
104,8
105,0
105,4
105,8
106,2
106,4
106,8
107,2
107,4
107,8
108,2
108,4
108,8
109,2
109,7
109,11
110,2
110,7
110,11
111,2
111,8
112,2
112,4
112,6
112,8
112,10
113,2
113,6
113,10
114,2
114,7
114,11
115,2
115,7
115,11
116,2
116,4
116,8
117,2
117,4
117,6
117,8
117,10
118,2
118,8
119,2
119,4
119,8
120,0
120,2
120,4
120,8
121,2
121,8
122,2
122,4
122,8
123,2
123,4
123,8
124,2
124,4
124,8
125,0
125,4
125,8
126,2
126,4
126,8
127,2
127,4
127,8
128,2
128,4
128,8
129,0
129,2
129,4
129,8
130,2
130,4
130,8
131,4
131,8
132,2
132,8
133,2
133,4
133,6
133,8
133,10
134,2
134,4
134,8
135,2
135,8
136,0
136,4
136,8
137,2
137,4
137,8
138,2
138,4
138,8
139,2
139,4
139,8
140,4
140,8
141,7
141,11
142,2
142,4
142,7
142,8
143,2
143,4
143,8
144,2
144,7
144,11
145,2
145,4
145,8
146,4
146,8
147,4
147,8
148,2
148,6
148,10
149,2
149,6
149,10
150,2
150,6
150,10
151,2
151,6
151,10
152,0
152,4
152,8
153,2
153,4
153,8
154,2
154,8
155,2
155,4
155,8
156,2
156,4
156,8
157,0
157,2
157,4
157,8
158,2
158,4
158,8
159,2
159,6
159,8
159,10
160,4
160,8
161,2
161,4
161,6
161,8
161,10
162,1
162,2
162,6
162,10
163,2
163,4
163,7
163,8
163,11
164,0
164,4
164,8
165,2
165,4
165,8
166,2
166,4
166,7
166,8
166,11
167,2
167,8
168,2
168,7
168,11
169,2
169,6
169,10
170,4
170,8
171,4
171,8
172,2
172,4
172,8
173,2
173,4
173,8
174,2
174,8
175,2
175,7
175,11
176,2
177,2
177,7
177,11
178,2
178,4
178,8
179,2
179,4
179,8
180,2
180,7
180,8
181,2
181,4
181,7
181,8
181,11
182,2
182,4
182,8
183,2
183,4
183,8
184,2
184,4
184,8
185,2
185,8
186,2
186,4
186,8
187,2
187,4
187,8
188,2
188,4
188,8
189,0
189,4
189,8
190,2
190,6
190,10
191,0
191,4
191,8
192,0
192,4
192,8
193,2
193,4
193,8
194,2
194,4
194,8
195,2
195,4
195,8
196,7
196,11
197,2
197,7
197,11
198,2
198,4
198,8
199,2
199,6
199,10
200,2
200,4
200,8
201,2
201,4
201,8
202,2
202,4
202,8
203,2
203,6
203,10
204,2
204,4
204,7
204,8
204,11
205,2
205,4
205,8
206,2
206,4
206,8
207,2
207,7
207,11
208,2
208,4
208,8
