lexeme_id,group_id,lexeme
1,1,aanne
2,2,rɒɒmmšedde
3,3,kebbše
4,4,šeennte
5,5,kaac'c'k'e
6,6,tuullte
7,6,tuul’l’tje
8,6,tuultne
9,7,tuujjše
10,8,puul'l'e
11,9,vues's't'e
12,10,sɒɒgge
13,11,pued'd'e
14,12,luuj̥j̥ke
15,13,jaamme
16,14,lɨhke
17,15,jugge
18,16,keeccke
19,17,jorre
20,18,abbre
21,19,naag'ruvve
22,20,kɒɒvvne
23,21,koollke
24,22,vuajjlaht'e
25,23,s'eennte
26,24,čɒɒjjde
27,25,v'iisse
28,26,an'n'te
29,27,vuul'l'ke
30,28,tuul'l'je
31,29,kɨr̥te
32,30,suvve
33,31,ɲuččk'e
34,32,n'iisse
35,33,taagge
36,34,t'iidde
37,34,t'iid's'e
38,35,ujjte
39,36,ɲualle
40,37,l'eešše
41,38,kɒmmle
42,39,ooʒe
43,40,muš'š'te
44,41,v'iiǯ'e
45,42,c'eel̥'l̥'k'e
46,43,suvve
47,44,taahkte
48,45,laavvle
49,46,ɒrre
50,47,ɨššte
51,48,vued'd'e
52,49,n'af'f'k'e
53,50,koor̥r̥se
54,51,saarrne
55,52,čoonne
56,53,čoollke
57,54,čuenče
58,54,čuenčle
59,55,kuuddje
60,56,jeesske
61,57,vuujje
62,58,jur'r'te
63,59,ɒɒntše
64,60,vuur'r'te
65,61,taahte
66,62,vuej̥j̥te
67,63,roobxušše
68,64,kɨr'jxe
